diskCtlrTimeBegin,diskCtlrTimeEnd,diskCtlrQueueDepth,diskCtlrQueueDepthEnd,tagID_begin,tagID_end,diskCacheHitStatus,CCT,qCCT,tagID[1],opid[1],devno[1],blkno[1],blkcnt[1],flags[1],cylBegin[1],headBegin[1],thetaBegin[1],cylDest[1],headDest[1],sectorDest[1],SeekDistance[1],SeekTime[1],Latency[1],XferTime[1],AccessTime[1],rpo_seektime[1],rpo_latency[1],rpo_xfertime[1],BlocksXferred[1],block_first[1],block_last[1],tagID[2],opid[2],devno[2],blkno[2],blkcnt[2],flags[2],cylBegin[2],headBegin[2],thetaBegin[2],cylDest[2],headDest[2],sectorDest[2],SeekDistance[2],SeekTime[2],Latency[2],XferTime[2],AccessTime[2],rpo_seektime[2],rpo_latency[2],rpo_xfertime[2],BlocksXferred[2],block_first[2],block_last[2]
421410.131755,421415.054238,0,0,8492,8492,BUFFER_NOMATCH,4.922482,4.922482,8492,8491,0,1724812,12,1,1112,0,1113198445,1112,1,0,0,0.000000,3.050986,0.367995,3.418981,195000000,480057579,30666242,296,1724812,1725106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421451.954238,421459.620337,0,0,8493,8493,BUFFER_NOMATCH,7.666099,7.666099,8493,8492,0,830356,8,1,535,3,1862125335,535,4,0,577,4.707370,1.472333,0.245330,6.425033,195000000,480114611,30666242,293,830356,830646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421503.771337,421510.744805,0,0,8494,8494,BUFFER_NOMATCH,6.973468,6.973468,8494,8493,0,2315776,4,1,1500,3,344411718,1500,4,0,965,5.746300,0.163460,0.127912,6.037672,195000000,508801834,31977984,288,2315776,2316062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421555.115805,421556.013805,0,1,8495,8495,BUFFER_NOMATCH,0.898000,0.898000,8495,8494,0,2315768,4,0,1500,4,177305905,1500,3,79,0,0.195000,2.090403,0.127912,2.413315,195000000,1660288716,127917639,5,2315768,2315772,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421624.233805,421633.638419,0,0,8496,8496,BUFFER_NOMATCH,9.404614,9.404614,8496,8495,0,3962148,8,1,2618,5,3324254056,2618,6,0,1118,6.145260,1.808550,0.271793,8.225603,195000000,485241811,33974112,292,3962148,3962438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421698.958419,421700.704419,0,1,8497,8497,BUFFER_NOMATCH,1.746000,1.746000,8497,8496,0,3962092,12,0,2618,6,404434155,2618,4,164,0,0.195000,2.309926,0.407689,2.912615,195000000,4630779371,407740683,13,3962092,3961928,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421753.817419,421762.094571,0,0,8498,8498,BUFFER_NOMATCH,8.277152,8.277152,8498,8497,0,4683444,12,1,3134,2,2738512796,3134,3,0,516,4.474960,1.927388,0.407689,6.810037,195000000,485458533,33974112,297,4683444,4683738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421797.710571,421799.050571,0,0,8499,8499,BUFFER_WHOLE,1.340000,1.340000,8499,8498,0,4683456,12,1,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421822.138571,421830.521680,0,0,8500,8500,BUFFER_NOMATCH,8.383109,8.383109,8500,8499,0,3423056,8,1,2245,1,3491131460,2245,2,0,889,5.559500,1.335901,0.255824,7.151225,195000000,508950118,31977984,292,3423056,3423346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421868.674680,421881.495591,0,0,8501,8501,BUFFER_NOMATCH,12.820911,12.820911,8501,8500,0,930752,4,1,600,1,3756688433,600,2,0,1645,7.196950,4.561565,0.122665,11.881180,195000000,480114611,30666242,289,930752,931038,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421907.759591,421926.273694,0,0,8502,8502,BUFFER_NOMATCH,18.514103,18.514103,8502,8501,0,8608132,12,1,6311,7,757830315,6312,0,0,5711,14.442490,2.064955,1.232576,17.740022,636000000,505613731,45648614,298,8608132,8608426,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
421964.942694,421966.282694,0,0,8503,8503,BUFFER_WHOLE,1.340000,1.340000,8503,8502,0,8608144,12,1,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
422058.946694,422060.286694,0,0,8504,8504,BUFFER_WHOLE,1.340000,1.340000,8504,8503,0,8608156,12,1,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0,0
